jira;cantidadTestCases;testCases
WEPUB-3259;0;
TRAPE-15678;0;
TRAPE-15290;0;
TRAPE-15007;5;C110182, C110176, C110175, C110174, C110172
TRAPE-14625;0;
TRAPE-12869;0;
TRAPE-12749;10;C110041, C110038, C110037, C109879, C109878, C109877, C109876, C109875, C109849, C109848
TRAPE-12178;0;
TRAPE-12118;0;
TRAPE-11914;0;
TRAPE-10265;0;
PLAOP-850;0;
OTRBE-3573;0;
LIQDB-5939;0;
LIQDB-5693;0;
INVER-4512;0;
INESP-3419;2;C109885, C109884
INESP-3314;1;C110067
INESP-3288;0;
GESRT-14764;0;
DATAW-3772;1;C110112
DATAW-3510;1;C109881
DATAW-3285;1;C109985
DATAW-2747;0;
CODMO-4038;0;
ACRED-3416;0;
